name,link,title_link
Afrique australe,/musiques-monde-afrique-australe.aspx,
Afrique centrale,/musiques-monde-afrique-centrale.aspx,
Afrique de l’Est,/musiques-monde-afrique-est.aspx,
Afrique de l’Ouest,/musiques-monde-afrique-ouest.aspx,
Amérique du Nord,/musiques-monde-amerique-du-nord.aspx,
Amérique latine,/musiques-monde-amerique-latine.aspx,
Asie de l’Est,/musiques-monde-asie-est.aspx,
Asie du Sud,/musiques-monde-asie-sud.aspx,
Asie du Sud-Est,/musiques-monde-asie-sud-est.aspx,
Asie intérieure,/musiques-monde-asie-interieure.aspx,
Caraïbes,/musiques-monde-caraibes.aspx,
Europe de l’Est,/musiques-monde-europe-est.aspx,
Europe de l’Ouest et du Nord,/musiques-monde-europe-ouest-nord.aspx,
Europe méridionale,/musiques-monde-europe-meridionale.aspx,
Grand Maghreb,/musiques-monde-grand-maghreb.aspx,
Océanie,/musiques-monde-oceanie.aspx,
Proche et moyen orient,/musiques-monde-proche-moyen-orient.aspx,
